epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,338.822,0.52692,0.61903,0.42746,0.89314,0.92318,0.87,0.91127,0.76175,0.92525,0.87,0.91064,0.75338,0.78699,1.36958,0.55675,0.99971,0.000709809,0.000709809,0.000709809
31,348.91,0.53335,0.63936,0.43087,0.89109,0.93002,0.91906,0.97786,0.81671,0.93419,0.92187,0.97874,0.81375,0.78399,1.40781,0.55067,0.98877,0.000676802,0.000676802,0.000676802
32,358.733,0.52865,0.63875,0.43094,0.89877,0.90276,0.90326,0.98008,0.80625,0.9098,0.91167,0.98326,0.80482,0.82702,1.32462,0.58814,1.00537,0.000643795,0.000643795,0.000643795
33,366.633,0.48911,0.6318,0.39348,0.88747,0.88247,0.87515,0.96972,0.80451,0.89569,0.8957,0.98484,0.8072,0.82853,1.3213,0.60327,1.00657,0.000610789,0.000610789,0.000610789
34,377.167,0.4875,0.69773,0.41145,0.87005,0.93349,0.93971,0.97571,0.81818,0.94899,0.94639,0.98809,0.82516,0.81577,1.25738,0.55393,0.99219,0.000577782,0.000577782,0.000577782
35,385.801,0.46375,0.60732,0.37582,0.86804,0.91856,0.95011,0.97424,0.82157,0.92967,0.95841,0.98577,0.82999,0.78562,1.19973,0.54937,0.9811,0.000544776,0.000544776,0.000544776
36,396.304,0.45682,0.66337,0.3832,0.85403,0.87173,0.84669,0.96341,0.81605,0.87491,0.85139,0.96847,0.81406,0.7711,1.15824,0.60675,0.98285,0.000511769,0.000511769,0.000511769
37,406.573,0.44232,0.62015,0.3664,0.86164,0.89648,0.86778,0.96574,0.81509,0.90353,0.87491,0.97236,0.82221,0.78103,1.20161,0.59242,0.99064,0.000478762,0.000478762,0.000478762
38,415.519,0.43965,0.55402,0.33342,0.87632,0.91512,0.94665,0.98358,0.82994,0.91867,0.94998,0.98214,0.83114,0.7554,1.22824,0.5158,0.97107,0.000445756,0.000445756,0.000445756
39,426.14,0.40122,0.51159,0.32643,0.8418,0.93978,0.93939,0.98455,0.84184,0.95066,0.94939,0.98564,0.83619,0.74286,1.24514,0.46975,0.96399,0.000412749,0.000412749,0.000412749
40,438.277,0.43194,0.53591,0.32686,0.84411,0.93856,0.96047,0.98328,0.83371,0.95201,0.97333,0.98392,0.84127,0.75605,1.25134,0.41413,0.98242,0.000379743,0.000379743,0.000379743
41,489.558,0.4082,0.50124,0.322,0.846,0.93721,0.96667,0.98282,0.82135,0.95047,0.98,0.99092,0.83569,0.76121,1.26264,0.40951,0.99237,0.000346736,0.000346736,0.000346736
42,504.146,0.41021,0.47913,0.32826,0.85767,0.93788,0.96156,0.98216,0.84165,0.94483,0.96812,0.98985,0.82826,0.7363,1.2711,0.42169,0.99629,0.000313729,0.000313729,0.000313729
43,515.538,0.36781,0.41007,0.30134,0.79931,0.94773,0.94178,0.98117,0.85129,0.95504,0.94434,0.98966,0.82528,0.73214,1.25936,0.42754,0.99354,0.000280723,0.000280723,0.000280723
44,527.714,0.3708,0.43463,0.29944,0.81574,0.92042,0.94434,0.97593,0.83735,0.91126,0.96,0.98238,0.82339,0.73626,1.20926,0.44088,0.99673,0.000247716,0.000247716,0.000247716
45,537.706,0.37096,0.39994,0.30089,0.83874,0.92512,0.9394,0.97382,0.84444,0.9167,0.95697,0.98133,0.82249,0.74057,1.18281,0.44297,0.9991,0.00021471,0.00021471,0.00021471
46,549.575,0.35279,0.4253,0.3125,0.81036,0.92448,0.94333,0.97999,0.84416,0.93194,0.95,0.98264,0.83725,0.75218,1.15572,0.44503,1.00212,0.000181703,0.000181703,0.000181703
47,558.888,0.34181,0.39562,0.28348,0.81414,0.95589,0.93667,0.98181,0.83651,0.94322,0.95039,0.98397,0.83922,0.75565,1.14441,0.44236,0.99827,0.000148696,0.000148696,0.000148696
48,570.027,0.34812,0.3909,0.29056,0.78907,0.95633,0.93737,0.98008,0.8435,0.96023,0.94555,0.98172,0.84214,0.73988,1.13598,0.4387,0.98524,0.00011569,0.00011569,0.00011569
49,579.919,0.30945,0.39664,0.27939,0.80687,0.95763,0.94049,0.98172,0.85298,0.95959,0.94476,0.98313,0.8446,0.73483,1.13319,0.44069,0.98812,8.26832e-05,8.26832e-05,8.26832e-05
50,591.448,0.29704,0.37023,0.26149,0.82542,0.95697,0.93333,0.98094,0.85354,0.95862,0.94555,0.98297,0.84472,0.73547,1.12769,0.43728,0.98876,4.96766e-05,4.96766e-05,4.96766e-05
