epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,91.7909,0.82643,0.72827,1.08259,0.93928,0.94737,0.96871,0.60986,1.27506,0.90847,1.4297,0.0011882,0.0011882,0.0011882
43,93.6048,0.80252,0.78619,0.97527,0.94805,0.96097,0.9665,0.62984,1.2024,0.87506,1.35294,0.0011684,0.0011684,0.0011684
44,95.4518,0.81512,0.72873,0.99072,1,0.88774,0.9863,0.70615,1.07949,0.89243,1.23279,0.0011486,0.0011486,0.0011486
45,97.3827,0.748,0.69759,0.95959,0.93127,0.84211,0.95158,0.67149,1.12812,0.88855,1.28427,0.0011288,0.0011288,0.0011288
46,99.2597,0.72218,0.67927,0.96648,0.93608,0.78947,0.92603,0.62086,1.13301,0.89309,1.3025,0.001109,0.001109,0.001109
47,101.216,0.76048,0.68303,0.99648,0.89116,0.94737,0.97051,0.64096,1.13518,0.8551,1.31827,0.0010892,0.0010892,0.0010892
48,103.055,0.69481,0.62675,0.936,0.93718,0.89474,0.95332,0.61996,1.11208,0.81685,1.28292,0.0010694,0.0010694,0.0010694
49,104.871,0.77853,0.68114,0.96676,0.93944,0.84211,0.95338,0.62618,1.12077,0.8277,1.26558,0.0010496,0.0010496,0.0010496
50,107.008,0.70701,0.62773,0.96319,0.89111,1,0.97919,0.59096,1.15728,0.82033,1.30897,0.0010298,0.0010298,0.0010298
51,108.839,0.73273,0.62658,0.95503,0.9822,1,0.995,0.60157,1.15571,0.78796,1.31912,0.00101,0.00101,0.00101
52,110.811,0.77242,0.66448,1.00863,0.89984,0.94574,0.96911,0.66519,1.06879,0.74832,1.24961,0.0009902,0.0009902,0.0009902
53,112.656,0.7704,0.68415,1.02123,0.98587,0.89474,0.97062,0.67728,1.09381,0.73972,1.24513,0.0009704,0.0009704,0.0009704
54,114.51,0.76342,0.64912,0.95617,0.8564,0.94189,0.96054,0.66475,1.10876,0.80187,1.23164,0.0009506,0.0009506,0.0009506
55,116.565,0.7719,0.67111,1.01575,1,0.82591,0.9581,0.6928,1.04424,0.81004,1.17317,0.0009308,0.0009308,0.0009308
56,118.443,0.71246,0.81544,1.02499,0.99036,0.84211,0.97026,0.73462,0.98507,0.69465,1.12893,0.000911,0.000911,0.000911
57,120.317,0.65034,0.60781,0.91783,0.98266,0.84211,0.96778,0.72017,0.98298,0.67807,1.13343,0.0008912,0.0008912,0.0008912
58,122.3,0.71765,0.66138,0.96891,0.85574,0.937,0.95794,0.70376,1.00143,0.71229,1.16043,0.0008714,0.0008714,0.0008714
59,124.162,0.63551,0.5439,0.91956,0.85274,1,0.96375,0.68148,1.04529,0.74168,1.17511,0.0008516,0.0008516,0.0008516
60,126.185,0.71932,0.62704,0.95618,0.89998,0.94718,0.92968,0.68215,1.01562,0.72169,1.15968,0.0008318,0.0008318,0.0008318
61,128.098,0.75971,0.62136,1.00557,0.89991,0.94651,0.93759,0.71032,0.97104,0.69919,1.13373,0.000812,0.000812,0.000812
62,130.12,0.71785,0.58521,0.93934,0.90444,0.89474,0.9654,0.72419,0.98506,0.7183,1.15224,0.0007922,0.0007922,0.0007922
63,132.231,0.58953,0.52708,0.92771,0.9349,0.94737,0.97525,0.72608,0.98799,0.68069,1.16754,0.0007724,0.0007724,0.0007724
64,134.337,0.64089,0.56599,0.93495,1,0.94118,0.98458,0.6791,1.09639,0.66153,1.2758,0.0007526,0.0007526,0.0007526
65,136.21,0.6546,0.62048,0.93894,1,0.94599,0.98818,0.69992,1.08619,0.65511,1.30198,0.0007328,0.0007328,0.0007328
66,138.152,0.64862,0.57823,0.94907,0.9878,0.94737,0.99024,0.71997,1.01256,0.7007,1.22934,0.000713,0.000713,0.000713
67,140.297,0.65712,0.598,0.9497,0.97609,0.94737,0.99024,0.7165,1.01453,0.6711,1.22482,0.0006932,0.0006932,0.0006932
68,142.491,0.62114,0.5418,0.91777,0.90435,0.99549,0.97659,0.7314,0.97761,0.61356,1.18985,0.0006734,0.0006734,0.0006734
69,144.434,0.58459,0.49785,0.9148,0.90244,1,0.97659,0.7399,0.98472,0.58483,1.20494,0.0006536,0.0006536,0.0006536
