epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,250.423,2.05861,0.99241,0.37234,1.53668,1.79932,0.50963,0.375,0.36771,0.11862,0.62405,0.47917,0.60867,0.48912,2.465,1.5158,0.17182,1.6541,2.0428,0.0009704,0.0009704,0.0009704
28,259.044,1.82911,0.76602,0.32848,1.3262,1.69356,0.77527,0.35417,0.50441,0.19737,0.78035,0.60417,0.7219,0.57566,2.24949,1.26705,0.13363,1.57417,1.92004,0.0009308,0.0009308,0.0009308
29,267.181,1.7705,0.84064,0.34136,1.34493,1.62519,0.62534,0.4375,0.51711,0.1864,0.63311,0.64583,0.7205,0.58511,2.32932,1.00522,0.12347,1.51024,1.95717,0.0008912,0.0008912,0.0008912
30,277.245,1.73754,0.57543,0.31146,1.26738,1.57191,0.54932,0.4375,0.52027,0.17974,0.69103,0.60417,0.70297,0.58305,2.30939,1.14617,0.11519,1.40158,1.95256,0.0008516,0.0008516,0.0008516
31,284.879,1.74212,0.71614,0.31964,1.20888,1.58002,0.60844,0.5,0.52121,0.22301,0.74572,0.75,0.78824,0.64818,2.15274,0.95151,0.11132,1.36969,1.81053,0.000812,0.000812,0.000812
32,294.45,1.7048,0.63543,0.33391,1.21477,1.54796,0.71317,0.4375,0.57577,0.23909,0.72233,0.72917,0.815,0.71015,2.13497,0.87046,0.11904,1.24308,1.79126,0.0007724,0.0007724,0.0007724
33,302.53,1.76894,0.59094,0.3541,1.25856,1.61907,0.5286,0.5,0.53873,0.21782,0.76522,0.79167,0.87356,0.71161,2.20971,0.69238,0.1276,1.27367,1.82862,0.0007328,0.0007328,0.0007328
34,310.529,1.70289,0.63473,0.36063,1.21654,1.60978,0.76894,0.41667,0.54344,0.21623,0.71828,0.69059,0.80481,0.66952,2.2533,1.10728,0.1488,1.30918,1.86402,0.0006932,0.0006932,0.0006932
35,320.253,1.66157,0.56792,0.29054,1.16151,1.57698,0.79216,0.39707,0.54827,0.22638,0.75564,0.75,0.83146,0.69922,2.16185,1.14926,0.14243,1.35496,1.75902,0.0006536,0.0006536,0.0006536
36,327.984,1.69777,1.04334,0.2972,1.38613,1.44956,0.57466,0.4375,0.53938,0.19981,0.71318,0.66667,0.7444,0.63512,2.20323,1.10674,0.14528,1.44928,1.81138,0.000614,0.000614,0.000614
37,336.358,1.62973,0.53209,0.25879,1.14414,1.51375,0.8366,0.35417,0.49457,0.1884,0.71589,0.68252,0.80173,0.66601,2.21304,1.08162,0.13747,1.35704,1.79977,0.0005744,0.0005744,0.0005744
38,345.816,1.58658,0.53381,0.27812,1.15359,1.57748,0.6919,0.46801,0.60164,0.23399,0.75678,0.79167,0.81985,0.70288,2.05852,0.76715,0.12159,1.22761,1.70911,0.0005348,0.0005348,0.0005348
39,352.881,1.6891,0.58059,0.35043,1.20074,1.59812,0.60717,0.64405,0.63151,0.25298,0.78252,0.82466,0.88473,0.77541,2.15174,0.64152,0.11702,1.19985,1.77877,0.0004952,0.0004952,0.0004952
40,361.397,1.57786,0.42568,0.27065,1.0878,1.50615,0.55587,0.65193,0.61711,0.24089,0.80895,0.83333,0.89016,0.77006,2.10448,0.65415,0.12478,1.16088,1.78861,0.0004556,0.0004556,0.0004556
41,394.516,1.39242,0.287,0.08159,0.99949,1.43596,0.60844,0.51803,0.58526,0.24005,0.79406,0.80339,0.85453,0.74735,2.08894,0.6966,0.12402,1.26178,1.7866,0.000416,0.000416,0.000416
42,405.108,1.32842,0.28872,0.0698,0.95031,1.45633,0.69883,0.47917,0.60703,0.26221,0.60392,0.76245,0.77143,0.64838,2.01995,0.81961,0.11131,1.27105,1.74671,0.0003764,0.0003764,0.0003764
43,413.846,1.3701,0.32687,0.05568,0.98213,1.5187,0.48094,0.64583,0.59144,0.25585,0.64164,0.79167,0.79267,0.66714,1.98345,0.83745,0.10114,1.27341,1.75097,0.0003368,0.0003368,0.0003368
44,421.934,1.51949,0.54481,0.0553,1.08952,1.51199,0.59059,0.47917,0.55313,0.23195,0.68269,0.76209,0.80012,0.65933,2.0151,0.79814,0.09117,1.28786,1.73261,0.0002972,0.0002972,0.0002972
45,429.531,1.33012,0.32553,0.04825,0.95234,1.47581,0.43892,0.5542,0.52241,0.22833,0.61744,0.7734,0.80297,0.67692,2.06307,0.73477,0.08486,1.2821,1.72648,0.0002576,0.0002576,0.0002576
46,438.866,1.37221,0.79053,0.05205,0.95627,1.34172,0.54832,0.55648,0.58158,0.2368,0.72354,0.77083,0.86315,0.71598,2.09303,0.73761,0.07934,1.22645,1.72465,0.000218,0.000218,0.000218
47,447.162,1.27722,0.2776,0.03065,0.83187,1.37567,0.6001,0.54167,0.58936,0.25825,0.80731,0.78564,0.88707,0.72656,2.07439,0.77461,0.07882,1.19579,1.70518,0.0001784,0.0001784,0.0001784
48,454.853,1.25005,0.21708,0.03152,0.84376,1.4167,0.66297,0.61482,0.65891,0.29491,0.73261,0.74214,0.86908,0.75609,1.97972,0.68864,0.07536,1.14367,1.67173,0.0001388,0.0001388,0.0001388
49,464.266,1.15301,0.20874,0.03267,0.82192,1.37558,0.71274,0.5687,0.66593,0.30822,0.77574,0.75,0.88295,0.77907,1.98668,0.66564,0.07348,1.14001,1.68212,9.92e-05,9.92e-05,9.92e-05
50,471.765,1.19191,0.25879,0.03814,0.82625,1.37562,0.72085,0.64557,0.68169,0.32145,0.80584,0.77832,0.89563,0.78485,1.9738,0.71243,0.07275,1.12554,1.68285,5.96e-05,5.96e-05,5.96e-05
